0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0.0,0.0,0.0,20.0,20.0,19.0,0.0,19.0,8.0,8.0,0.0,20.0,19.0,8.0,22.47,0.0,20.0,8.0,42.0,23.41,19.0,8.0,8.0,42.0,35.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1
1,0.0,0.0,0.0,19.0,19.0,23.0,0.0,25.0,20.0,20.1,0.0,19.0,25.0,20.0,25.02,0.0,19.0,0.0,40.0,21.0,25.0,20.0,23.0,43.0,23.09,0.0,40.0,6.0,42.0,6.32,6.0,42.0,23.0,43.0,17.03,0.0,0.0,0.0,0.0,0.0,49.74
1,0.0,0.0,0.0,6.0,6.0,19.0,0.0,20.0,10.0,10.05,0.0,6.0,20.0,10.0,20.4,0.0,6.0,1.0,21.0,15.03,20.0,10.0,18.0,25.0,15.13,1.0,21.0,18.0,25.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02
1,0.0,0.0,0.0,22.0,22.0,22.0,0.0,22.0,15.0,15.0,0.0,22.0,22.0,15.0,23.09,0.0,22.0,2.0,45.0,23.09,22.0,15.0,20.0,36.0,21.1,2.0,45.0,14.0,52.0,13.89,14.0,52.0,20.0,36.0,17.09,0.0,0.0,0.0,0.0,0.0,56.46
1,0.0,0.0,0.0,18.0,18.0,8.0,0.0,10.0,16.0,16.12,0.0,18.0,10.0,16.0,10.2,0.0,18.0,2.0,37.0,19.1,10.0,16.0,12.0,24.0,8.25,2.0,37.0,10.0,42.0,9.43,10.0,42.0,12.0,24.0,18.11,0.0,0.0,0.0,0.0,0.0,43.68
1,0.0,0.0,0.0,20.0,20.0,16.0,0.0,18.0,16.0,16.12,0.0,20.0,18.0,16.0,18.44,0.0,20.0,1.0,34.0,14.04,18.0,16.0,19.0,41.0,25.02,1.0,34.0,19.0,41.0,19.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.19
1,0.0,0.0,0.0,22.0,22.0,18.0,0.0,20.0,14.0,14.14,0.0,22.0,20.0,14.0,21.54,0.0,22.0,2.0,29.0,7.28,20.0,14.0,19.0,31.0,17.03,2.0,29.0,4.0,37.0,8.25,4.0,37.0,19.0,31.0,16.16,0.0,0.0,0.0,0.0,0.0,42.06
1,0.0,0.0,0.0,11.0,11.0,25.0,0.0,26.0,11.0,11.05,0.0,11.0,26.0,11.0,26.0,0.0,11.0,14.0,31.0,24.41,26.0,11.0,14.0,31.0,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46
1,0.0,0.0,0.0,11.0,11.0,20.0,0.0,22.0,14.0,14.14,0.0,11.0,22.0,14.0,22.2,0.0,11.0,0.0,26.0,15.0,22.0,14.0,24.0,21.0,7.28,0.0,26.0,24.0,21.0,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.38
1,0.0,0.0,0.0,12.0,12.0,7.0,0.0,7.0,7.0,7.0,0.0,12.0,7.0,7.0,8.6,0.0,12.0,1.0,35.0,23.02,7.0,7.0,5.0,30.0,23.09,1.0,35.0,2.0,37.0,2.24,2.0,37.0,5.0,30.0,7.62,0.0,0.0,0.0,0.0,0.0,37.66
1,0.0,0.0,0.0,7.0,7.0,6.0,0.0,6.0,7.0,7.0,0.0,7.0,6.0,7.0,6.0,0.0,7.0,1.0,24.0,17.03,6.0,7.0,7.0,24.0,17.03,1.0,24.0,2.0,24.0,1.0,2.0,24.0,7.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0
1,0.0,0.0,0.0,7.0,7.0,21.0,0.0,22.0,11.0,11.05,0.0,7.0,22.0,11.0,22.36,0.0,7.0,2.0,15.0,8.25,22.0,11.0,24.0,32.0,21.1,2.0,15.0,24.0,32.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
